soru_id,metin_var_mı,metin,soru_kökü,A,B,C,D,E
65,Evet,"Bazı sözcükler isim-fiil eki aldığı hâlde kalıplaşarak bir varlığın kavramın ismi olur Dondurma örneği verilmiş","Buna göre aşağıdakilerin hangisinde fiilimsi eki aldığı hâlde kalıplaşarak bir varlığı veya kavramı karşılayan sözcük yoktur","Kötü hava şartları nedeniyle bütün İstanbul uçuşları iptal olmuş","Annemin yaptığı sarmaların tadına asla doyum olmaz","Bakkala gelen taze ekmekler on dakika içerisinde tükendi","Teyzem benim için mavi renkli bir yelek dokumaya başlamış",
66,Evet,"Türkçede -ma/-me eki hem olumsuzluk hem de isim-fiil eki olarak kullanılabilir","Buna göre aşağıdaki cümlelerin hangisinde -ma/-me eki farklı bir görevde kullanılmıştır","O konuşmaya başlayınca herkes susardı","Mutlu günleri hayal etmeye başladı","Beni üzen olanları bizden saklamasıydı","Olanları anlamasın diye her şeyi yaptım",
67,Evet,"Bir taş alacaksınız (I) yontmaya başlayacaksınız şekillenmeye yüz tutmuşken (II) atacaksınız elinizden... bir yığın yarım yamalak biçimler bırakacaksınız (III) Belki başkaları onları sever ve tamamlar (IV)","Bu metinde numaralanmış sözcüklerden hangisi zarf-fiildir",I,II,III,IV,
68,Evet,"Zülfünün yay gibi kuvvetli çelik tellerine / Takılan gönlüm asırlarca peşinden gidecek","Bu dizelerde yer alan fiilimsinin türce özdeşi aşağıdaki cümlelerin hangisinde vardır","İşe başlayalı daha üç gün olmuş dert yanıyor","Güneşin doğuşunu izlemek görülmeye değer","Tepeye çıkınca şehir çok güzel göründü","Kararlaştırdığımız yerde buluştuk arkadaşlarla",
69,Evet,"Zirvelerde kartallar da bulunur yılanlar da ancak biri oraya süzülerek diğeri ise sürünerek gelmiştir...","Bu metin ile ilgili aşağıdakilerden hangisi söylenemez","Birden fazla zarf-fiil kullanılmıştır","Adlaşmış sıfat-fiil kullanılmıştır","İsim-fiile yer verilmiştir","Zarf-fiiller cümleye durum anlamı katmıştır",
70,Evet,"Sıfat-fiiller belirttikleri ya da niteledikleri adlar düştüğünde adlaşır Söylediği şeyler -> Söyledikleri örneği","Buna göre aşağıdaki cümlelerin hangisinde adlaşmış sıfat-fiile yer verilmemiştir","Pazar günü akşama kadar atılacak eşyaları bir kenara ayırdık babamla","Kaybettiklerine üzülmeyi bırak artık gelecek günlere odaklan","Çarşıya gidip unuttuklarını bir an önce alması gerekiyor","Şu utanmazın dün akşam bana yaptıklarını gördün mü",
71,Evet,"Kısa çizginin bazı işlevleri verilmiş (Ara sözleri ayırmak, Sözcükler arasında anlamı vermek, Fiil kök ve gövdelerini göstermek)","Kısa çizgi aşağıdaki cümlelerden hangisinde bu işlevlerinin dışında kullanılmıştır","Kırtasiyeden aldığı Türkçe-İngilizce sözlüğün birkaç sayfası yırtıkmış","Hayatının gurur dolu günlerini -askerlik zamanlarını- arkadaşlarına heyecanla anlatırdı","Hava sıcaklığı -12ye düşünce dışarı çıkmaktan vazgeçti","Derste oku- yaz- ve sev- sözcükleri ile ilgili cümle yazdık",
72,Evet,"Kır saçlı adam elinde bir buket çiçek ile saatlerce tren istasyonunda bekledi","Bu cümlede kullanılan virgülün görevi aşağıdakilerden hangisidir","Birden çok cümleyi ayırmak","Ara sözleri ayırmak","Özneyi belirtmek","Eş görevli sözcükleri ayırmak",
73,Evet,"I -ar/-er geniş zaman kip eki veya sıfat-fiil eki olarak kullanılmaktadır II Alınteri Bulvarı 160/5 Ostim/ANKARA III Mal sahibi mülk sahibi / Hani bunun ilk sahibi","Numaralanmış cümlelerde eğik çizginin (/) aşağıdaki görevlerinden hangisine örnek yoktur","Yan yana yazılan dizeleri ayırmak","Adreslerde semt ve şehri ayırmak","Tarihlerde gün ay ve yılı ayırmak","Eklerin farklı biçimlerini göstermek",
74,Evet,"Öğrenci öğretmeninden özür dilemek için bekliyordu","Aşağıdakilerin hangisinde virgül bu cümledeki göreviyle kullanılmıştır","O bu konuda her zaman doğruları söylemişti","Hemşehrilerim yarın hepimiz için oldukça önemli bir gün","İhtiyar kadına saatlerce derdini anlattı","Yolcular şoför kaza yapınca korkuya kapıldı",
75,Evet,"Doğayı neşelendiren bir şeyler vardı (I) Baharın gelişi kuşların cıvıltısı rengârenk çiçekler (II) Hepsi ve daha fazlası belki de doğanın canlanmasında ayrı ayrı etkili (III) Doğanın neşesi insanlara da yansımış gibi (IV)","Bu metinde numaralanmış yerlerden hangisine üç nokta (...) konulmalıdır",I,II,III,IV,
76,Evet,"Düşman isterseniz dostlarınızı geçmeye çalışınız; dost isterseniz bırakın dostlarınız sizi geçsin","Bu metindeki noktalı virgülün kullanımıyla ilgili aşağıdakilerden hangisi söylenebilir","Cümle içinde virgüllerle ayrılmış tür veya takımları birbirinden ayırmak","Tırnak içine alınmayan cümleleri ayırmak","Ögeleri arasında virgül bulunan sıralı cümleleri ayırmak","İkiden fazla eş değer öge arasında virgül bulunan cümlede özneyi ayırmak",
77,Evet,"Ruhuma dokunan şarkı -Akşam Güneşi- radyoda çalıyor","Aşağıdakilerin hangisinde kısa çizgi bu cümledeki göreviyle kullanılmıştır","Özlediği adama -babasına- gidecek","ca -ce eki küçültme eki olarak kullanılır","Türkçe-Almanca sözlük almam gerekiyor","Konsere 100-150 kişi katılmıştı",
78,Hayır,"","Aşağıdaki cümlelerden hangisinin sonuna soru işareti (?) konulmalıdır","Bu işler ne zaman bitecek ben de merak ediyorum","Bu projede kimler yer alacak bize söylenmedi","Sizinle ne kadar iftihar etsek azdır diye düşünüyorum","Geçen on yıl neden seni de yıpratmadı",
79,Evet,"Özel olarak vurgulanmak istenen sözcükler tırnak içine alınır Cümle içinde eserlerin ve yazıların adları tırnak içine alınır Başka bir kimseden aktarılan sözler tırnak içine alınır","Bu açıklamalara göre hangisinde tırnak işaretinin kullanımıyla ilgili yanlışlık yapılmıştır","Faruk Nafiz Çoban Çeşmesinde doğanın güzelliğini etkili bir biçimde dile getirmiştir","Toplumun hoşgörü ihtiyacının her geçen gün hızla artmakta olduğunu herkes görüyor","Descartesin Düşünüyorum öyleyse varım sözü insanlık için çok önemli","Bu hafta sınıftaki tüm öğrenciler Reşat Nurinin Acımak kitabını okuyacak",
80,Evet,"İshakpaşa Sarayında bulunan antika eşyalar görücüye çıktı / Durup durup Ben sensiz neyleyim buralarda! diye söyleniyor / 2010 yapımı film Nene Hatunun hayatını ele alıyor","Bu cümlelerde kesme işaretinin (’) aşağıdaki işlevlerinden hangisinin örneği yoktur","Kişi adlarından sonra gelen saygı ve unvan sözlerine getirilen ekleri ayırmak","Özel adlara getirilen durum eklerini ayırmak","Bir ek veya harften sonra gelen ekleri ayırmak","Seslerin söyleyiş gereği düştüğünü göstermek",
81,Evet,"Kötülüğün kol gezdiği (I) karanlığın bayrak olduğu zamanlarda her zaman birileri çıkar ortaya Stefan Zweig (II) felaket sürerken Avrupada (III) İyilikle gülümseyebilen insanlar vardı hâlâ (IV) diyebilmiştir mesela","hangisinde bu metinde numaralanmış noktalama işaretlerinin işlevleriyle ilgili yanlış bir bilgi verilmiştir","I. yerde virgül birden çok yüklemli cümleyi ayırmak için kullanılmıştır","II. yerde virgül özneyi ayırmak için kullanılmıştır","III. yerde kesme işareti özel isimden sonra gelen durum ekini ayırmak için kullanılmıştır","IV. yerde nokta tamamlanmış cümlenin sonunda kullanılmıştır",
82,Evet,"Şeflerin ödevi hayatı sevinç ve istekle karşılamak hususunda uluslarına yol göstermektir diyordu Atatürk","Aşağıdaki cümlelerin hangisinde tırnak işareti bu cümledeki göreviyle kullanılmıştır","Kongrede bazı okullar tarafından desteklenen Tarık ve Beyaz Karga adlı kitabın da bildirisi yer aldı","Onların mutluluk kaleleri benim gibi gerçekçiler tarafından yıkılamayacak kadar sağlamdı","Mehmet Kaplanın Kültür ve Edebiyat Dili makalesini bulabilir misin","Halil Cibranın Başka bir insanın mutluluğu güvenliği ve gelişimi bizim için kendi mutluluğumuz güvenliğimiz ve gelişimimiz kadar önemli hâle geldiğinde sevgi vardır sözünü çok beğenirim",
83,Evet,"Bir gün kasabaya (O yıllarda salgın hastalıklar kol geziyordu.) şehirden doktorlar gelmişti","Bu cümledeki yay ayracın kullanım amacı aşağıdakilerden hangisidir","Cümlenin dışında ek bir bilgi vermek","Kendisiyle ilgili açıklama verilecek cümleyi belirtmek","Tırnak içine alınmayan sözü belirtmek","Senaryoda konuşan kişinin hareketlerini belirtmek",
84,Evet,"Geçen sene bize büyük (!) bir miras kaldı (...) Birkaç kitap bir iki el işi örmesi çanta bir de eski bir kanepe Neredeyse unutuyordum bir de büyükannemin al yazması vardı","Bu metindeki numaralanmış noktalama işaretlerinden hangisi yanlış kullanılmıştır",I,II,III,IV,
85,Evet,"Büyük harflerle yapılan kısaltmaların yazımında nokta kullanılmaz Ölçü bildiren kısaltmalara ek getirilirken sözcüğün okunuşu esas alınır m p r s ünsüzleriyle yapılan pekiştirmeler bitişik yazılır","Bu kurallara göre cümlelerinden hangilerinde yazım yanlışı yapılmıştır","I ve II","I ve III","II ve IV","III ve IV",
86,Evet,"Belirli bir tarih bildiren ay ve gün adları büyük harfle başlar","Buna göre aşağıdaki cümlelerin hangisinde bu kurala uymamaktan kaynaklanan yazım yanlışı yapılmıştır","2 Ekim Çarşamba günü dükkânı başkasına devredecek","Müfettişler Pazartesi günü yaşanan olayı soruşturmak için gelmişler","23 Nisan 1920 ulusal bağımsızlığımızın sembol tarihlerinden biridir","Öğretmen atamaları bu sene yine eylül ayında yapılacakmış",
87,Evet,"Aşağıdaki cümlelerden hangisinde birleşik fiillerin yazımıyla ilgili yanlışlık yapılmıştır","Kitaptaki baskı hatasını öğrenciler farketti","Şiddetli depremle kasaba mahvuldu","Dördüncü girişinde sınavı ancak kazanabildi","Akşamleyin televizyon karşısında uyuyakaldı",
88,Evet,"(I) Tahir Necmeddin Sefercioğlu 21 Haziran 1931 tarihinde Nevşehirde doğdu (II) Babası Abdi Baha Sefercioğlu annesi ise Fatma Hanımdır (III) Üç kardeşin en küçüğü Prof Dr Mustafa Nejat Sefercioğludur (IV) Memur babasının Ankaraya tayini dolayısıyla Ulus İlkokulunu bitirmiştir","Bu metinde numaralanmış cümlelerin hangisinde yazım yanlışı yapılmıştır",I,II,III,IV,
89,Evet,"Sayı saat ve dakikalar metin içerisinde yazıyla yazılır Ayrıca birden fazla sözcükten oluşan sayılar ayrı yazılır Rakamla yazılmış bir sayıya gelen ekler kesme işareti ile ayrılır Sıra sayıları rakamla veya yazıyla gösterilebilir Üleştirme sayıları rakamla değil yazıyla belirtilir","Bu kurallara göre cümlelerin hangilerinde yazım yanlışı yapılmıştır","I ve II","I ve IV","II ve III","II ve IV",
90,Evet,"Yiyecek içecek adlarından biriyle kurulan birleşik kelimeler ayrı yazılır Sıfat veya zarf görevindeki pekiştirmeli sözler bitişik yazılır Bağlaç olan de getirildiği kelimeye ayrı yazılır İsim durum ekleri ve iyelik ekiyle yapılan ikilemeler ayrı yazılır","Bu kurallara göre cümlelerinden hangilerinde yazım yanlışı yapılmıştır","I ve II","I ve IV","II ve III","D (III ve IV)",
91,Evet,"Sözcüklerden her ikisi veya ikincisi birleşme sırasında anlam kaymasına uğramış olan birleşik sözcükler bitişik yazılır","Buna göre aşağıdaki cümlelerin hangisinde birleşik sözcüklerin yazımında yanlışlık yapılmıştır","Lunaparka gidince illâ dönme dolaba bineceğim diye tutturdu","Dağ keçisi görebilmek umuduyla saatlerce ormanda gezindik","Çocuk odasının boyasını fil dişi renginde alarak iyi etmişsiniz","Üst geçitten geçmek yerine hayatını tehlikeye atıyorsun",
92,Evet,"Yer adları büyük harfle başlar Tarihî olay çağ ve dönem adları büyük harfle başlar Yer millet ve kişi adlarıyla kurulan birleşik kelimelerde sadece özel adlar büyük harfle başlar Belirli bir tarih bildiren ay ve gün adları büyük harfle başlar","Bu kurallara göre cümlelerinden hangilerinde yazım yanlışı yapılmıştır","I ve II","I ve III","II ve IV","III ve IV",
93,Evet,"I Bu konuyu sizinle başbaşa görüşmek istiyorum II İyi kötü kendine bir iş bulup burada kaldı III İç içe birleşik cümleyi lisede öğreneceğiz IV Bu eski püskü eşyaları çöpe atman gerekmez mi","Numaralanmış cümlelerin hangisinde ikilemelerin yazımıyla ilgili yanlışlık yapılmıştır",I,II,III,IV,
94,Evet,"İsim durum ekleri ve iyelik ekiyle yapılan ikilemeler ayrı yazılır","Aşağıdaki cümlelerin hangisinde bu kurala uyulmamıştır","Elden ele uzatılan paralar sonunda şoföre ulaştı","İki arkadaş hoşbeş edip hasret giderdi","Dişediş geçen mücadele sonunda kazanan çıkmadı","Topladığı irili ufaklı taşları kovasına koymuş",
95,Evet,"Birden fazla kelimeden oluşan sayılar ayrı yazılır Üleştirme sayıları rakamla değil yazıyla yazılır Sayılarda kesirler virgül ile ayrılır Sıra sayıları yazıyla ya da rakamla gösterilebilir","Bu kurallardan hareketle cümlelerinden hangilerinde yazım yanlışı yapılmıştır","I ve II","I ve IV","II ve III","III ve IV",
96,Evet,"İki noktadan sonra gelen cümleler büyük harfle başlar Yer adları büyük harfle başlar Belirli bir tarih bildiren ay ve gün adları büyük harfle başlar","Bu kurallara göre cümlelerinden hangilerinde yazım yanlışı yapılmıştır","I ve II","II ve III","II ve IV","III ve IV",
97,Evet,"Yazı başlıklarının her sözcüğü büyük harfle başlar Başlıkta geçen ve de ki ya da gibi bağlaçlarla soru eki mi küçük harfle yazılır Ancak başlığın tüm harfleri büyük yazılmışsa bunların da büyük yazılması gerekir","Buna göre aşağıdakilerin hangisinde bu kurala uyulmamıştır","Suç Ve Ceza","YUSUF İLE ZÜLEYHA","Vatan yahut Silistre","Keloğlan ile Cankız",
98,Evet,"I Prof Dr Saim Sakaoğlunun asistanlığını yapmış seneler önce II Sanıyorum ki iki gün içinde il dışı tayinler belli olur III Yaşanan her sıkıntı da ağlayarak odasına giderdi IV Kutunun içine sakladığı Antep fıstıklarını gizliden gizliye yiyormuş","Numaralanmış cümlelerin hangisinde yazım yanlışı yapılmıştır",I,II,III,IV,
99,Evet,"Etmek edilmek eylemek olmak olunmak yardımcı fiilleriyle kurulan birleşik fiiller ilk kelimesinde herhangi bir ses düşmesi veya türemesine uğramazsa ayrı yazılır","Aşağıdakilerin hangisinde bu kurala uyulmamasından kaynaklanan yazım yanlışı vardır","Sarfettiğin sözler ben dahil hepimizin kalbini kırmaya yetti","Özrümün kabul edilmesi için bir kutu çikolata aldım","Tesisatçının numarasını kaydetmediği için beni aramış","Karadeniz’in güzelliğini fark ettiğinde İyi ki buraya gelmişim diyeceksin",
100,Evet,"I Asi Nehri bulunduğu bölgeye büyük imkânlar sunmaktadır II Namık Kemalin Vatan yahut Silistre adlı eseri yeniden sahnelendi III Kalorifer peteğinin üzerine çıkan Tekir saatlerce oradan inmeyi bilmedi IV Kardeşim abone olduğum Türk Dili Dergisini yırtmış","Numaralanmış cümlelerin hangisinde büyük harflerin yazımıyla ilgili yanlışlık yapılmıştır",I,II,III,IV,
101,Evet,"İsim-fiil Sıfat-fiil Zarf-fiil açıklamaları verilmiş Az önce başlayan yağmur derin bir ferahlık veriyor... Tanıdık bir şeyler arıyorum etrafta...","Bu metinde yukarıda açıklaması verilen fiilimsilerden hangileri vardır","Yalnız isim-fiil","İsim-fiil ve sıfat-fiil","Sıfat-fiil ve zarf-fiil","İsim-fiil sıfat-fiil ve zarf-fiil",
102,Evet,"Fiilimsi yapan eklerden bazıları zamanla kalıplaşır ve böylece eklendiği sözcük fiilimsi olmaktan çıkıp kalıcı bir isim hâline gelir","Aşağıdaki cümlelerin hangisinde bu açıklamanın örneği yoktur","Misafirlerime mercimek çorbası pilav ve kavurma ikram ettim","Elindeki çakmak dedesinden kalma bir aile yadigârıydı","Kahvaltı için bakkala gidip dört ekmek yedi yumurta aldım","Bazı gıdaların bozulmasını dondurma yöntemiyle geciktirebilirsin",
103,Evet,"Aşağıdaki cümlelerin hangisinde -ma /-me eki farklı bir işleve sahiptir","Herkesi küçük görmesi yüzünden bu hâle geldi","Hikâye yazma işini çok seviyorum","Tehlikeli yerlerde yüzme diye uyardım","Kulaktan dolma bilgilerle hareket ediyor",
104,Evet,"İsim fiil eki almış olmasına rağmen zamanla kalıplaşarak bir varlığın ya da kavramın adı hâline gelmiş sözcükler fiilimsi olarak kabul edilmez Bunlara kalıcı isim denir Havuzun dolması (isim-fiil) Biber dolmasını (kalıcı isim)","Verilen bilgiye göre aşağıdaki cümlelerin hangisinde kalıcı isim vardır","Kitap okumayı çok seviyorum","Ayakkabı almak için çarşıya gitmişler","Köfte yapmak için yarım kilo kıyma aldım","Bahçeyi kardeşim kazmak istemeyince iş bana kaldı",
105,Evet,"Kendi elimle yaptığım bu konak o eski günlerin güzelliğini yaşatıyor","Bu cümlede nesne olan söz grubu aşağıdakilerin hangisidir","Kendi elimle yaptığım bu konak","bu konak","o eski günlerin güzelliğini","günlerin güzelliğini",
106,Evet,"Ev sözcüğü aşağıdaki cümlelerin hangisinde belirtili nesne göreviyle kullanılmıştır","Ev insanların içinde barındığı yapıdır","Herkes kendi evinde rahat eder","Enginin evi buradan çok uzaktadır","Evinizi her zaman temiz tutun",
107,Evet,"I Yemekhaneden çıktıktan sonra profesörün odasına gittik II Gizli anlaşmalardan biri gazetelerde çarşamba günü yayımlandı III Tarladaki işçiler kollarındaki sepetlere topladıkları çilekleri koyuyorlardı IV Doktor reçeteye yazdığı ilaçlardan ikisini iptal etmiş","Bu cümlelerin hangilerinde belirtili nesne kullanılmıştır","I ve II","I ve IV","II ve III","III ve IV",
108,Evet,"I Bir soru sormak istemiştim II Almam gerekenleri aldım III Zamanın nasıl geçtiğini anlamak zordur IV Aç yaşamaktan tok ölmek iyidir","Yukarıdaki cümlelerin hangisinde belirtisiz nesne kullanılmıştır",I,II,III,IV,
109,Evet,"Aşağıdaki atasözlerinin hangisinde birden fazla yer tamlayıcısı kullanılmıştır","Herkesin geçtiği köprüden sen de geç","Doğru söyleyeni dokuz köyden kovarlar","Dağ dağa kavuşmaz insan insana kavuşur","Bir deli kuyuya taş atmış kırk akıllı çıkaramamış",
110,Evet,"Cahit Sıtkıdan söz ettim demin Onun Garip sonrası şiirlerinden çıkış yapan birçok şair olmuştur İşin tuhafı bunların çoğu da şiiri genellikle genç yaşta bırakmış ya da şiirle ilgilerini gevşetmişlerdir","Yukarıdaki parçada altı çizili söz gruplarından hangisi yer tamlayıcısıdır","Cahit Sıtkıdan","Onun Garip sonrası şiirlerinden çıkış yapan birçok şair","bunların çoğu da","genç yaşta",
111,Evet,"(I) 19 yüzyıl Fransız ressamlarından Delacroix Pariste bir resim sergisi açmış (II) Sergiyi gezen konuklardan biri büyükçe bir şövalye tablosunun önünde durmuş","Bu metindeki numaralanmış cümlelerin hangilerinde yer tamlayıcısı kullanılmıştır","I ve II","II ve III","I ve III","III ve IV",
112,Evet,"Sınıfın kapısı tamlaması aşağıdakilerin hangisinde yer tamlayıcısı olarak kullanılmıştır","Sınıfın kapısında bekleyen öğrenciler birden hareketlendi","Bizim sınıfın yaramaz öğrencileri okulun ilk haftası sınıfın kapısını kırdılar","Müdür yardımcısı sınıfın kapısına uzun bir liste asmış","Sınıfın kapısına en yakın öğrenci tahtaya kalktı",
113,Evet,"Aşağıdaki cümlelerin hangisinde birden fazla zarf tamlayıcısı kullanılmıştır","Araştırmalarınızdaki titizlik beni çok etkiledi","Sonunda bu mağazada sana göre bir elbise buldum","Yeni gelen öğrenci ilginç sorularıyla sınıftaki herkesi şaşırtmıştı","Keloğlan günlerden bir gün köye geri döndü",
114,Evet,"Aşağıdaki sorulardan hangisine verilen cevap zarf tamlayıcısı değildir","Hangi bakkala borcumuz var - Köşe başındakine","Yola ne zaman çıkacaksınız - Güneş doğmadan","Neden bugüne kadar beklemiş - Onunla karşılaşmak istemediği için","Birinci olmayı nasıl başarmış - Planlı çalışarak",
115,Evet,"Aşağıdakilerin hangisinde soru zarf tümlecini buldurmaya yöneliktir","Öğretmen deney için bizden ne istiyor","Ebru sanatının temel özelliği nedir","Bu yıl okullar ne zaman kapanacak","Meryemle nerede tanıştınız",
116,Evet,"Aşağıdaki cümlelerden hangisinde ara söz yer tamlayıcısının açıklayıcısı olarak kullanılmıştır","Her cumartesi bu cumartesi hariç bu dükkânda çalışacaksın","Yazın en güzel ayında haziranda okullar tatil olur","O büyük şairi Orhan Veliyi lise yıllarında tanıdım","Aydına çeşmelerinden yağ ve bal akan şehre bu sene de gideceğiz",
117,Evet,"Tarihî bina söz grubu aşağıdaki cümlelerin hangisinde vurgulanan öge olarak kullanılmıştır","Turistler rehber eşliğinde tarihî binayı gezdi","Tarihî bina yangından sonra restore edildi","Depremden sonra tarihî binanın duvarlarında çatlaklar oluştu","Bu tarihî binayı kim yaptırmış",
118,Evet,"Aşağıdaki cümlelerden hangisinde diğerlerinden farklı bir öge vurgulanmıştır","Arka bahçeye birkaç meyve fidanı diktik","Kahve fincanını hemen ocağın üstüne bıraktı","Koliler öndeki kamyonun kasasından düşmüştür","Ben sizi tiyatro binasının kapısında bekliyorum",
119,Evet,"Aşağıdaki cümlelerin hangisinde işi yapan belli değildir","Çocuklar başarıyı sınıfça kutlamış","Ahşap evde oturan yaşlı adama kimse yardım etmemiş","Şehrin sokaklarındaki çöpler gece toplanmış","Pencerenin kenarından bahçede oynayan çocukları izledi",
120,Evet,"İşi yapanın belli olmadığı fiillere edilgen çatılı fiil denir","Buna göre aşağıdaki cümlelerden hangisinin yüklemi edilgen çatılı bir fiil değildir","Maça gitmek için bekleyen taraftarlar turnikenin önünde tekerli sıralanmışlar","Salonun zemini misafirler gelmeden yüzey temizleyiciyle silinmiş","Olumsuz hava koşulları sebebiyle uçak seferleri ertelenmiş","Eskiden kıtlık zamanlarında küp şeker misafir ağırlamada çok değerli olduğundan çocuklardan saklanırmış",
121,Evet,"Nesne alabilen fiiller geçişli nesne alamayan fiiller ise geçişsizdir","Buna göre aşağıdaki cümlelerin hangisinde geçişsiz fiil kullanılmıştır","Çoban önüne kattığı keçileri çeşmenin başına kadar getirdi","Denizden çıkar çıkmaz şezlonga uzanmış","Sert esen rüzgâr uçurtmayı sağa sola savurdu","Annemin bana aldığı eşofman takımını çok beğendim",
122,Evet,"I Çocuk köpeği görünce ağacın arkasına saklandı (Etken Geçişli) II Türkçe yazılısı önümüzdeki haftaya ertelenmiş (Edilgen Geçişsiz) III Kuvvetli fırtına ağaçları kökünden sökmüş (Etken Geçişli) IV Kuraklık nedeniyle barajlarımızdaki su seviyesi iyice azaldı (Edilgen Geçişsiz)","Numaralanmış cümlelerin hangilerinde yüklemin çatı özelliği yay ayraç içinde yanlış verilmiştir","I ve II","II ve III","III ve IV","D (I ve IV)",
123,Evet,"Sıfat-fiillerle kurulan sıfat tamlamalarında sıfatın nitelediği ismin düşmesiyle oluşan sıfat fiillere adlaşmış sıfat-fiil denir","Aşağıdaki cümlelerden hangisinde adlaşmış sıfat-fiil yoktur","Gelen gideni aratır","Anlayan anlamayana anlatsın","Ayşeciğim arabaya bakanlar kimdi","Cevabı bilen öğrenciler şuraya geçsin",
124,Evet,"İsim-fiil Sıfat-fiil Zarf-fiil uyarıları verilmiş...","Bu görselde boş bırakılan yerlere aşağıdaki cümlelerden hangisi getirilemez","İki yüz metreyi on iki saniyede koşunca dünya rekoru kırdı","Öğretmenimiz cevap anahtarını danışmadan alabileceğimizi söyledi","İşlerimizin birikmemesi için günü gününe yapmalıyız","Top oynayan çocukların üstü başı iyiden iyiye kirlenmiş",
125,Evet,"Fiillerden türemelerine rağmen cümlede fiil görevinde kullanılmayan... fiilimsi denir","cümlelerinin hangilerinde fiilimsi kullanılmıştır",I ve II,I ve III,III ve IV,II ve III,
126,Evet,"Bir milletin bütün zekâsı bilgisi duyarlılığı dilinde toplanır...","Bu metin için aşağıdakilerden hangisi söylenemez","Zarf-fiil kullanılmıştır","İsim-fiil kullanılmıştır","Çekimli fiil kullanılmıştır","Sıfat-fiil kullanılmıştır",
127,Evet,"Böğürtlen fundalık çalılık bahçe çitleri ve yol kenarında kendiliğinden yetişebilen bir bitki türü olması ile dikkat çeker...","Bu parçadaki altı çizili sözcüklerden hangisi adlaşmış sıfat-fiildir","Yetişebilen","Olması","İsteyenler","Ekerek",
128,Evet,"(I) Su yosunları suyun altındaki yaşam için çok önemli bitkilerdir (II) Suyun asit oranını dengeleyip sabit tutmalarının ötesinde...","Bu metindeki numaralanmış cümlelerden hangilerinde fiilimsi kullanılmamıştır","I ve IV","I ve V","II ve V","III ve VI",
129,Evet,"Fiil kök ve gövdelerine getirilen birtakım eklerle oluşturulan... fiilimsi denir","Bu bilgilere göre aşağıdakilerin hangisinde üç fiilimsi türünün tamamı bulunmaktadır","Dünyayı tek başına bir bireyin gezip dolaşması...","Yaşlanmayı durdurmak imkansız olsa da...","Kentler kuruluş amaçları olan insanların...","Köpeklerin burunlarında bulunan ve koku almaya yarayan...",
130,Evet,"I Dünya nüfusu her geçen gün artıyor II Böylece çevre kirliliği başladı III Sanayi işletmeleri bu konuya duyarlı görünmüyor IV Uzmanlar ekolojik dengenin korunması gerektiğini söylüyor","Numaralanmış cümlelerden hangisi nesne-yüklem ilişkisine göre diğerlerinden farklıdır",I,II,III,IV,
131,Evet,"A) Nihayetsiz bir ova ağarttı benzimizi... B) Yağız atlar kişnedi... C) Bir sarsıntı... D) Neden sonra sarsıldı altımda demir yaylar...","Aşağıdakilerin hangisinde bütün fiiller geçişlidir",A,B,C,D,
132,Evet,"Edilgen fiiller fiil kök ya da gövdelerine -l ve -n çatı ekleri getirilerek yapılır","Aşağıdaki cümlelerden hangisinin yüklemi edilgen değildir","Düğün yemeği çoktan hazırlanmış","Bakırköyde yeni bir mağaza açılmış","Memurlar maaşlarına yapılan zamma sevindi","Misafirlerin geçmesi için sandalyeler kenara çekildi",
133,Evet,"A) Sessizce bir köşeye oturdu B) Hiç itiraz etmeden bütün kuralları kabul etti C) İyilikleriyle kendisini sevmeyenleri utandırdı D) Aralarındaki dostluğu bir kalemde bitirdi","Aşağıdaki cümlelerden hangisi nesne çatısı bakımından diğerlerinden farklıdır",A,B,C,D,
134,Evet,"I Çok sevdiği bu şehirden taşınacakmış (Geçişsiz fiil) II Şehrin girişinde kamyonlar art arda sıralanmıştı (Geçişsiz fiil) III Bu önemli zaman diliminde... (Geçişli fiil) IV Devlet erozyonla mücadele için yeni bir eylem planı geliştirdi (Geçişsiz fiil)","Numaralanmış cümlelerden hangilerinde yüklemin çatı özelliği yay ayraç içinde yanlış verilmiştir","I ve II","I ve IV","II ve III","III ve IV",
135,Evet,"Sıfat-fiillerle kurulan sıfat tamlamalarında sıfatın nitelediği ismin düşmesiyle oluşan sıfat fiillere adlaşmış sıfat-fiil denir Örnek: Koşan çocuklar... Koşanlar...","Aşağıdaki cümlelerden hangisinde adlaşmış sıfat-fiil yoktur","Gelen gideni aratır","Anlayan anlamayana anlatsın","Ayşeciğim arabaya bakanlar kimdi","Cevabı bilen öğrenciler şuraya geçsin",
